All time measurements in ms.  Number of clients:  1,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.23,1.16,464.7,0,2.14,0,0,0
1,0.01,0.24,1.17,452.1,0,2.2,0,0,0
2,0.01,0.23,1.16,463.8,0,2.15,0,0,0
3,0.01,0.23,1.16,462.3,0,2.15,0,0,0
4,0.01,0.23,1.16,458.4,0,2.17,0,0,0
5,0.01,0.23,1.16,455.4,0,2.18,0,0,0
6,0.01,0.23,1.16,456.9,0,2.18,0,0,0
7,0.01,0.23,1.16,464.1,0,2.14,0,0,0
8,0.01,0.23,1.16,458.7,0,2.17,0,0,0
9,0.01,0.23,1.16,456.6,0,2.18,0,0,0
Average,0.01,0.23,1.16,459.3,0,2.17,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
All time measurements in ms.  Number of clients:  2,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.29,1.27,804.9,0.01,2.47,0,2.69,0
1,0.01,0.28,1.28,786.9,0,2.53,0,2.84,0
2,0.01,0.29,1.27,796.2,0.01,2.5,0,3.02,0
3,0.01,0.29,1.27,799.2,0.01,2.49,0,2.94,0
4,0.01,0.29,1.27,785.4,0.01,2.53,0,2.94,0
5,0.01,0.29,1.27,801,0,2.48,0,2.86,0
6,0.01,0.29,1.27,795.9,0.01,2.5,0,2.82,0
7,0.01,0.29,1.27,798.9,0.01,2.49,0,2.63,0
8,0.01,0.29,1.27,805.2,0.01,2.47,0,3.01,0
9,0.01,0.29,1.27,802.2,0.01,2.48,0,2.83,0
Average,0.01,0.29,1.27,797.58,0.01,2.5,0,2.86,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
All time measurements in ms.  Number of clients:  4,,,,,,,,,
Run, Put, Get, Commit, txn/sec, AbortRatio, Latency(s), Retries/txn(s), Latency(f), Retries/txn(f)
0,0.01,0.48,1.51,1135.8,0.02,3.5,0,4.42,0
1,0.01,0.47,1.51,1143,0.02,3.47,0,4.33,0
2,0.01,0.48,1.5,1153.5,0.02,3.44,0,4.25,0
3,0.01,0.47,1.51,1137,0.02,3.49,0,4.29,0
4,0.01,0.48,1.52,1143,0.02,3.48,0,3.91,0
5,0.01,0.47,1.51,1147.2,0.02,3.47,0,4.09,0
6,0.01,0.48,1.51,1129.5,0.02,3.52,0,4,0
7,0.01,0.48,1.51,1142.4,0.02,3.48,0,4.24,0
8,0.01,0.47,1.54,1139.7,0.09,3.43,0,4.26,0.01
9,0.01,0.48,1.51,1140,0.02,3.48,0,4.45,0
Average,0.01,0.48,1.51,1141.11,0.03,3.48,0,4.22,0
